genre,url
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",007-legends
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",007-nightfire
"[Action, General, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",007-quantum-of-solace
"[Miscellaneous, Puzzle, Action]",0rbitalis
"[Action, Platformer, 2D]",10-second-ninja
"[Role-Playing, General, General]",10000000
"[Action, Platformer, 2D]",1001-spikes
"[Action, Shooter, Shoot-'Em-Up, Top-Down]",12-is-better-than-6
"[Action, Platformer, Platformer, 2D, 2D]",140
"[Adventure, General, Point-and-Click]",15-days
"[Strategy, Real-Time, Historic, General, Historic]",1503-ad---the-new-world
"[Strategy, Real-Time, Historic, General, Historic]",1701-ad
"[Strategy, City Building, Historic]",1849
"[General, Puzzle, Miscellaneous, Adventure, Puzzle, Point-and-Click, General]",1954-alcatraz
"[Adventure, General]",1979-revolution-black-friday
"[General, Action, General]",a-bird-story
"[Action, Shooter, Scrolling]",a-city-sleeps
"[Strategy, Turn-Based, Tactics]",a-druids-duel
"[Action, General]",a-fistful-of-gun
"[Strategy, General, General]",a-game-of-dwarves
"[Strategy, Real-Time, General, Historic, Fantasy, General]",a-game-of-thrones-genesis
"[Miscellaneous, Adventure, General, Point-and-Click]",a-golden-wake
"[Adventure, General, General]",a-new-beginning-final-cut
"[Simulation, General]",a-normal-lost-phone
"[Action, Platformer, 2D]",a-pixel-story
"[Adventure, Third-Person, Modern, Modern]",a-quiet-weekend-in-capri
"[Action, Platformer, 3D, Platformer, 3D]",a-story-about-my-uncle
"[Adventure, General]",a-stroke-of-fate-operation-valkyrie
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy]",a-tale-in-the-desert
"[Action Adventure, Fantasy, Fantasy]",a-valley-without-wind
"[Action, Platformer, Platformer, 2D, 2D]",a-valley-without-wind-2
"[Miscellaneous, Puzzle, Action, Puzzle, Action]",a-virus-named-tom
"[Action, Platformer, Platformer, 2D, 2D]",a-walk-in-the-dark
"[Action, Platformer, Platformer, 3D, 2D]",ares-extinction-agenda
"[Action, Sports, General, Platformer, 3D]",aaaaaaaaaaaaaaaaaaaaaaaaa!!!-a-reckless-disregard-for-gravity
"[Strategy, Adventure, Real-Time, General, Tactics]",aarklash-legacy
"[Action, Platformer, 2D]",aarus-awakening
"[Racing, Arcade, Automobile]",absolute-drift
"[Action Adventure, Fantasy, Linear]",abyss-odyssey
"[Action Adventure, Adventure, General, 3D, Third-Person]",abzu
"[Action, Simulation, Flight, Flight, Combat]",ace-combat-assault-horizon-enhanced-edition
"[Action, General, General]",ace-of-spades
"[Strategy, Real-Time, Sci-Fi, General]",achron
"[Strategy, Turn-Based, Wargame, Turn-Based, General]",achtung-panzer-kharkov-1943
"[Military, Strategy, Real-Time, General]",act-of-aggression
"[Strategy, Real-Time, Military, General, Military]",act-of-war-direct-action
"[Strategy, Real-Time, Military, General, Military]",act-of-war-high-treason
"[Action, Platformer, 3D]",action-henk
"[Action, Adventure, Interactive Movie, General, Interactive Movie]",actual-sunlight
"[Action, General, General]",adams-venture-the-search-for-the-lost-garden
"[Action, Action Adventure, General, Survival]",adr1ft
"[Action Adventure, Sci-Fi, Sci-Fi, General]",advent-rising
"[Simulation, Strategy, General, General, Management, Business / Tycoon]",adventure-park
"[Action, Miscellaneous, Parlor, Pinball, Pinball]",adventure-pinball-forgotten-island
