genre,url
"[Adventure, General, General, Point-and-Click]",harvester
"[Strategy, Turn-Based, General, Tactics]",has-been-heroes
"[General, Adventure, General, Visual Novel]",hatoful-boyfriend
"[General, Adventure, General, Visual Novel]",hatoful-boyfriend-holiday-star
"[Modern, Action, Shooter, Third-Person, Shoot-'Em-Up, Arcade, Top-Down]",hatred
"[General, Adventure, General]",haunted
"[Action, General, General, Shooter, First-Person, Tactical]",hawken
"[Action, Action Adventure, General, Platformer, 2D]",headlander
"[Strategy, Turn-Based, Card Battle]",hearthstone-blackrock-mountain
"[Strategy, Miscellaneous, Turn-Based, Card Battle]",hearthstone-curse-of-naxxramas
"[Miscellaneous, Strategy, Turn-Based, Card Battle]",hearthstone-goblins-vs-gnomes
"[Card Battle, Strategy, Miscellaneous, Turn-Based, Card Battle]",hearthstone-heroes-of-warcraft
"[Strategy, Turn-Based, Card Battle]",hearthstone-journey-to-ungoro
"[Strategy, Turn-Based, Card Battle]",hearthstone-league-of-explorers
"[Strategy, Turn-Based, Card Battle]",hearthstone-one-night-in-karazhan
"[Strategy, Turn-Based, Card Battle]",hearthstone-the-grand-tournament
"[Strategy, Turn-Based, Card Battle]",hearthstone-whispers-of-the-old-gods
"[Strategy, Real-Time, Historic, General, Historic]",hearts-of-iron
"[Strategy, Real-Time, Military, General, Military]",hearts-of-iron-ii
"[Strategy, Real-Time, Military, General, Military]",hearts-of-iron-ii-doomsday
"[Strategy, Real-Time, Historic, General, Historic]",hearts-of-iron-iii
"[Strategy, Real-Time, Historic, General]",hearts-of-iron-iii-semper-fi
"[Historic, Strategy, Real-Time, General]",hearts-of-iron-iv
"[Strategy, Real-Time, General]",hearts-of-iron-iv-together-for-victory
"[Strategy, Real-Time, Historic, General, Historic]",hearts-of-iron-platinum
"[Strategy, Turn-Based, Fantasy]",heaven-hell-2003
"[General, Adventure, Point-and-Click]",heavens-hope
"[Action, Shooter, First-Person, Sci-Fi]",heavy-bullets
"[Action, Shooter, Shooter, Third-Person, Fantasy, Arcade]",heavy-metal-fakk-2
"[Action, Role-Playing, Action Adventure, Adventure, General, General, General]",hector-badge-of-carnage---episode-1-we-negotiate-with-terrorists
"[Action, Action Adventure, Adventure, General, General]",hector-badge-of-carnage---episode-2-senseless-acts-of-justice
"[Action, Action Adventure, Adventure, General, General]",hector-badge-of-carnage---episode-3-beyond-reasonable-doom
"[Strategy, Real-Time, Sci-Fi, Sci-Fi, General]",hegemonia-legions-of-iron
"[Strategy, Real-Time, Historic, General]",hegemony-philip-of-macedon
"[Action Adventure, Survival]",hektor
"[Action, Platformer, Platformer, 2D, 2D]",hell-yeah!-wrath-of-the-dead-rabbit
"[Action Adventure, General]",hellblade-senuas-sacrifice
"[Action, Shooter, Third-Person, Arcade]",helldivers
"[Strategy, General, General]",helldorado
"[Role-Playing, First-Person, First-Person, Western-Style]",hellgate-london
"[Adventure, General]",her-majestys-spiffing
"[Adventure, Visual Novel]",her-story
"[Adventure, 3D, First-Person]",herald-an-interactive-period-drama
"[Role-Playing, PC-style RPG, PC-style RPG, Western-Style]",heretic-kingdoms-the-inquisition
"[Strategy, City Building, Management, Historic, Historic, Government]",heritage-of-kings-the-settlers
"[Strategy, Turn-Based, General, Fantasy, Fantasy]",hero-academy
"[Action Adventure, Fantasy, General, Fantasy]",hero-x
"[Strategy, General, General]",heroes-chronicles-conquest-of-the-underworld
"[Strategy, General, General]",heroes-chronicles-warlords-of-the-wasteland
"[Strategy, Real-Time, Fantasy, General, Fantasy]",heroes-of-annihilated-empires
"[Strategy, General]",heroes-of-might-magic-iii---hd-edition
"[Strategy, Turn-Based, Fantasy, General, Fantasy]",heroes-of-might-and-magic-iv
"[Strategy, Turn-Based, Fantasy, General]",heroes-of-might-and-magic-iv-the-gathering-storm
"[Strategy, Turn-Based, Fantasy, General, Fantasy]",heroes-of-might-and-magic-iv-winds-of-war
"[Strategy, Turn-Based, Fantasy, General, Fantasy]",heroes-of-might-and-magic-v
"[Strategy, Turn-Based, Fantasy, General, Fantasy]",heroes-of-might-and-magic-v-hammers-of-fate
"[Strategy, Turn-Based, Fantasy, General, Fantasy]",heroes-of-might-and-magic-v-tribes-of-the-east
"[Strategy, Real-Time, Fantasy, MOBA, MOBA]",heroes-of-newerth
"[Miscellaneous, Board / Card Game]",heroes-of-normandie
"[Simulation, Flight, WWII, WWII, Combat]",heroes-of-the-pacific
"[Action, Strategy, Real-Time, General, MOBA]",heroes-of-the-storm
"[Simulation, Flight, WWII, WWII, Combat]",heroes-over-europe
"[Miscellaneous, Card Battle, Strategy, Turn-Based, Card Battle]",hex-shards-of-fate
"[Action, General, General]",hexodius
"[Action, Shooter, General, Shooter, First-Person, Tactical, Historic]",hidden-dangerous
"[Action, Shooter, Shooter, First-Person, Tactical, Historic, Historic]",hidden-dangerous-2
"[Action, Shooter, Shooter, First-Person, Tactical, Historic, Historic]",hidden-dangerous-2-sabre-squadron
"[Puzzle, Hidden Object]",hidden-folks
"[First-Person, Adventure, 3D]",hide-and-shriek
"[Sports, Traditional, Team, Baseball, Sim, Sim]",high-heat-major-league-baseball-2002
"[Sports, Traditional, Team, Baseball, Sim, Sim]",high-heat-major-league-baseball-2003
"[Sports, Traditional, Team, Baseball, Sim, Sim]",high-heat-major-league-baseball-2004
"[Strategy, Real-Time, Historic, General, Historic, Command]",highland-warriors
"[Strategy, Real-Time, Fantasy, General]",hinterland
"[Strategy, Turn-Based, Modern, Modern]",hired-guns-the-jagged-edge
"[Modern, Action Adventure, General]",hitman
"[Action Adventure, General]",hitman---episode-2-sapienza
"[Action Adventure, General]",hitman---episode-3-marrakesh
"[Action Adventure, General]",hitman---episode-4-bangkok
